[02/23 02:33:03] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 59/100, Acc=0.8766, Val Loss=0.4108, lr=0.0010
[02/23 02:33:14] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 60/100, Acc=0.8790, Val Loss=0.4003, lr=0.0010
[02/23 02:33:25] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 61/100, Acc=0.8819, Val Loss=0.3969, lr=0.0010
[02/23 02:33:36] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 62/100, Acc=0.8843, Val Loss=0.3965, lr=0.0010
[02/23 02:33:48] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 63/100, Acc=0.8799, Val Loss=0.4011, lr=0.0010
[02/23 02:33:59] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 64/100, Acc=0.8786, Val Loss=0.4011, lr=0.0010
[02/23 02:34:10] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 65/100, Acc=0.8778, Val Loss=0.4068, lr=0.0010
[02/23 02:34:21] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 66/100, Acc=0.8762, Val Loss=0.4123, lr=0.0010
[02/23 02:34:33] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 67/100, Acc=0.8811, Val Loss=0.4004, lr=0.0010
[02/23 02:34:44] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 68/100, Acc=0.8815, Val Loss=0.3990, lr=0.0010
[02/23 02:34:55] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 69/100, Acc=0.8778, Val Loss=0.4008, lr=0.0010
[02/23 02:35:07] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 70/100, Acc=0.8799, Val Loss=0.3931, lr=0.0010
[02/23 02:35:18] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 71/100, Acc=0.8790, Val Loss=0.3919, lr=0.0010
[02/23 02:35:29] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 72/100, Acc=0.8847, Val Loss=0.3900, lr=0.0010
[02/23 02:35:41] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 73/100, Acc=0.8786, Val Loss=0.3988, lr=0.0010
[02/23 02:35:52] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 74/100, Acc=0.8795, Val Loss=0.3927, lr=0.0010
[02/23 02:36:03] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 75/100, Acc=0.8750, Val Loss=0.4017, lr=0.0010
[02/23 02:36:15] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 76/100, Acc=0.8803, Val Loss=0.3945, lr=0.0010
