[02/20 12:35:22] cifar10-resnet56 INFO: Epoch 73/200, Acc=0.7769, Val Loss=0.7154, lr=0.1000
[02/20 12:35:56] cifar10-resnet56 INFO: Epoch 74/200, Acc=0.8206, Val Loss=0.5507, lr=0.1000
[02/20 12:36:31] cifar10-resnet56 INFO: Epoch 75/200, Acc=0.7729, Val Loss=0.7011, lr=0.1000
[02/20 12:37:05] cifar10-resnet56 INFO: Epoch 76/200, Acc=0.8031, Val Loss=0.5814, lr=0.1000
[02/20 12:37:39] cifar10-resnet56 INFO: Epoch 77/200, Acc=0.8075, Val Loss=0.5921, lr=0.1000
[02/20 12:38:13] cifar10-resnet56 INFO: Epoch 78/200, Acc=0.8294, Val Loss=0.5148, lr=0.1000
[02/20 12:38:48] cifar10-resnet56 INFO: Epoch 79/200, Acc=0.8049, Val Loss=0.6226, lr=0.1000
[02/20 12:39:22] cifar10-resnet56 INFO: Epoch 80/200, Acc=0.7637, Val Loss=0.7577, lr=0.1000
[02/20 12:39:57] cifar10-resnet56 INFO: Epoch 81/200, Acc=0.7661, Val Loss=0.7496, lr=0.1000
[02/20 12:40:32] cifar10-resnet56 INFO: Epoch 82/200, Acc=0.7890, Val Loss=0.6538, lr=0.1000
[02/20 12:41:06] cifar10-resnet56 INFO: Epoch 83/200, Acc=0.7870, Val Loss=0.6360, lr=0.1000
[02/20 12:41:41] cifar10-resnet56 INFO: Epoch 84/200, Acc=0.7613, Val Loss=0.7040, lr=0.1000
[02/20 12:42:15] cifar10-resnet56 INFO: Epoch 85/200, Acc=0.8245, Val Loss=0.5370, lr=0.1000
[02/20 12:42:50] cifar10-resnet56 INFO: Epoch 86/200, Acc=0.7815, Val Loss=0.6847, lr=0.1000
[02/20 12:43:25] cifar10-resnet56 INFO: Epoch 87/200, Acc=0.7605, Val Loss=0.7840, lr=0.1000
[02/20 12:44:00] cifar10-resnet56 INFO: Epoch 88/200, Acc=0.8395, Val Loss=0.4678, lr=0.1000
[02/20 12:44:35] cifar10-resnet56 INFO: Epoch 89/200, Acc=0.6784, Val Loss=1.1534, lr=0.1000
[02/20 12:45:09] cifar10-resnet56 INFO: Epoch 90/200, Acc=0.8274, Val Loss=0.5213, lr=0.1000
[02/20 12:45:44] cifar10-resnet56 INFO: Epoch 91/200, Acc=0.8439, Val Loss=0.4729, lr=0.1000
